timestamp,datetime,person,car,bicycle
38.89182686805725,2025-04-09 21:28:50,2.0,,0.0
39.30039191246033,2025-04-09 21:28:50,2.0,,0.0
39.684510946273804,2025-04-09 21:28:50,3.0,,0.0
40.10261106491089,2025-04-09 21:28:51,3.0,,0.0
40.5468008518219,2025-04-09 21:28:51,3.0,,0.0
40.95200490951538,2025-04-09 21:28:52,3.0,,0.0
41.33792185783386,2025-04-09 21:28:52,3.0,,0.0
41.73019981384277,2025-04-09 21:28:52,3.0,,0.0
42.087284088134766,2025-04-09 21:28:53,3.0,,0.0
42.46886992454529,2025-04-09 21:28:53,3.0,,0.0
42.83004903793335,2025-04-09 21:28:54,3.0,,0.0
43.18447184562683,2025-04-09 21:28:54,3.0,,0.0
43.54851293563843,2025-04-09 21:28:54,3.0,,0.0
43.953476905822754,2025-04-09 21:28:55,3.0,,0.0
44.366528034210205,2025-04-09 21:28:55,3.0,,0.0
44.76241111755371,2025-04-09 21:28:55,2.0,,0.0
45.14555287361145,2025-04-09 21:28:56,3.0,,0.0
45.538026094436646,2025-04-09 21:28:56,3.0,,0.0
45.93121290206909,2025-04-09 21:28:57,3.0,,0.0
46.35465979576111,2025-04-09 21:28:57,3.0,,0.0
46.77513289451599,2025-04-09 21:28:57,3.0,,0.0
47.694989919662476,2025-04-09 21:28:58,,,
48.04902505874634,2025-04-09 21:28:59,,,
48.43382000923157,2025-04-09 21:28:59,,,
48.8454327583313,2025-04-09 21:29:00,,,
49.24954605102539,2025-04-09 21:29:00,,,
49.68113684654236,2025-04-09 21:29:00,,,
50.06955075263977,2025-04-09 21:29:01,,,
50.46152091026306,2025-04-09 21:29:01,,,
50.86191487312317,2025-04-09 21:29:02,,,
51.21831512451172,2025-04-09 21:29:02,,,
51.62409806251526,2025-04-09 21:29:02,,,
52.05328702926636,2025-04-09 21:29:03,,,
